"","velocidad_recomendada","severidad","fatales","festivos","iluminación","lesiones_menores","carretera","lesiones_graves","limite_velocidad","clima"
"287168",35,"Accidente sin lesiones",0,"No festivo","Soleado",0,"Asfalto",0,80,"Buen clima"
"287204",85,"Accidente fatal",2,"No festivo","Nublado",0,"Asfalto",0,100,"Lluvia ligera"
"287224",65,"Accidente leve",0,"No festivo","Soleado",1,"Asfalto",0,100,"Buen clima"
"287232",55,"Accidente leve",0,"No festivo","Oscuro",2,"Asfalto",0,100,"Buen clima"
"287266",25,"Accidente sin lesiones",0,"No festivo","Oscuro",0,"Asfalto",0,100,"Buen clima"
"287268",65,"Accidente leve",0,"No festivo","Soleado",1,"Asfalto",0,100,"Buen clima"
"287320",35,"Accidente sin lesiones",0,"No festivo","Soleado",0,"Asfalto",0,100,"Buen clima"
"287405",55,"Accidente sin lesiones",0,"No festivo","Oscuro",0,"Asfalto",0,100,"Buen clima"
"287407",55,"Accidente fatal",2,"No festivo","Oscuro",0,"Asfalto",2,100,"Buen clima"
"287449",35,"Accidente sin lesiones",0,"Cumpleaños de la Reina","Soleado",0,"Asfalto",0,70,"Buen clima"
"287468",55,"Accidente sin lesiones",0,"No festivo","Oscuro",0,"Asfalto",0,100,"Lluvia ligera"
"287502",75,"Accidente sin lesiones",0,"No festivo","Soleado",0,"Asfalto",0,100,"Buen clima"
"287549",55,"Accidente sin lesiones",0,"Navidad y Año Nuevo","Nublado",0,"Asfalto",0,100,"Lluvia intensa"
"287613",80,"Accidente sin lesiones",0,"No festivo","Soleado",0,"Asfalto",0,100,"Buen clima"
"287650",70,"Accidente leve",0,"No festivo","Oscuro",1,"Asfalto",0,100,"Buen clima"
"287663",45,"Accidente leve",0,"No festivo","Oscuro",3,"Asfalto",0,100,"Lluvia intensa"
"287699",55,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,100,"Buen clima"
"287761",65,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,100,"Lluvia ligera"
"287808",75,"Accidente leve",0,"No festivo","Nublado",1,"Asfalto",0,100,"Lluvia ligera"
"287888",65,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,100,"Buen clima"
"287905",55,"Accidente leve",0,"No festivo","Soleado",1,"Asfalto",0,100,"Buen clima"
"287971",80,"Accidente sin lesiones",0,"No festivo","Soleado",0,"Asfalto",0,100,"Buen clima"
"287976",70,"Accidente leve",0,"No festivo","Nublado",1,"Asfalto",0,100,"Lluvia ligera"
"288036",45,"Accidente leve",0,"No festivo","Oscuro",1,"Asfalto",0,70,"Buen clima"
"288038",75,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,100,"Lluvia intensa"
"288221",35,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,100,"Buen clima"
"288227",75,"Accidente leve",0,"No festivo","Oscuro",1,"Asfalto",0,100,"Buen clima"
"288256",45,"Accidente leve",0,"No festivo","Soleado",2,"Asfalto",0,100,"Buen clima"
"288265",25,"Accidente sin lesiones",0,"No festivo","Oscuro",0,"Asfalto",0,50,"Niebla"
"288334",35,"Accidente sin lesiones",0,"No festivo","Oscuro",0,"Asfalto",0,80,"Buen clima"
"288335",25,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,100,"Lluvia ligera"
"288348",75,"Accidente leve",0,"Navidad y Año Nuevo","Nublado",4,"Asfalto",0,100,"Lluvia ligera"
"288374",65,"Accidente sin lesiones",0,"No festivo","Soleado",0,"Asfalto",0,100,"Buen clima"
"288392",55,"Accidente sin lesiones",0,"No festivo","Oscuro",0,"Asfalto",0,100,"Lluvia ligera"
"288402",45,"Accidente leve",0,"No festivo","Nublado",4,"Asfalto",0,100,"Lluvia ligera"
"288408",80,"Accidente sin lesiones",0,"No festivo","Soleado",0,"Asfalto",0,100,"Buen clima"
"288412",55,"Accidente leve",0,"No festivo","Nublado",1,"Asfalto",0,70,"Buen clima"
"288452",20,"Accidente sin lesiones",0,"No festivo","Soleado",0,"Asfalto",0,50,"Buen clima"
"288467",65,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,100,"Buen clima"
"288575",85,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,100,"Lluvia ligera"
"288697",45,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,100,"Buen clima"
"288766",50,"Accidente sin lesiones",0,"No festivo","Oscuro",0,"Asfalto",0,100,"Buen clima"
"288786",55,"Accidente fatal",1,"No festivo","Nublado",1,"Asfalto",0,100,"Lluvia ligera"
"288869",15,"Accidente sin lesiones",0,"No festivo","Soleado",0,"Asfalto",0,30,"Buen clima"
"288951",55,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,100,"Lluvia intensa"
"288965",20,"Accidente sin lesiones",0,"No festivo","Soleado",0,"Asfalto",0,50,"Buen clima"
"289032",55,"Accidente sin lesiones",0,"No festivo","Oscuro",0,"Asfalto",0,70,"Lluvia ligera"
"289105",80,"Accidente sin lesiones",0,"No festivo","Oscuro",0,"Sin Asfalto",0,100,"Buen clima"
"289110",55,"Accidente sin lesiones",0,"No festivo","Oscuro",0,"Asfalto",0,100,"Lluvia ligera"
"289136",45,"Accidente leve",0,"No festivo","Nublado",1,"Asfalto",0,100,"Lluvia intensa"
"289185",65,"Accidente sin lesiones",0,"No festivo","Oscuro",0,"Asfalto",0,70,"Buen clima"
"289202",70,"Accidente sin lesiones",0,"No festivo","Oscuro",0,"Asfalto",0,100,"Lluvia ligera"
"289236",55,"Accidente sin lesiones",0,"No festivo","Soleado",0,"Asfalto",0,80,"Buen clima"
"289295",15,"Accidente sin lesiones",0,"No festivo","Soleado",0,"Asfalto",0,100,"Buen clima"
"289300",65,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,100,"Lluvia ligera"
"289397",35,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,80,"Lluvia ligera"
"289426",85,"Accidente leve",0,"No festivo","Soleado",1,"Asfalto",0,100,"Buen clima"
"289459",35,"Accidente leve",0,"No festivo","Nublado",2,"Asfalto",0,100,"Lluvia ligera"
"289464",35,"Accidente sin lesiones",0,"Cumpleaños de la Reina","Nublado",0,"Asfalto",0,50,"Lluvia ligera"
"289525",55,"Accidente grave",0,"No festivo","Soleado",0,"Asfalto",2,100,"Buen clima"
"289527",65,"Accidente leve",0,"No festivo","Soleado",1,"Asfalto",0,100,"Buen clima"
"289557",45,"Accidente leve",0,"No festivo","Oscuro",1,"Asfalto",0,100,"Buen clima"
"289581",65,"Accidente leve",0,"No festivo","Nublado",2,"Sin Asfalto",0,100,"Lluvia ligera"
"289687",55,"Accidente leve",0,"No festivo","Nublado",2,"Asfalto",0,100,"Lluvia intensa"
"289769",70,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,100,"Lluvia ligera"
"289778",25,"Accidente leve",0,"No festivo","Soleado",1,"Asfalto",0,50,"Buen clima"
"289794",75,"Accidente sin lesiones",0,"No festivo","Oscuro",0,"Asfalto",0,100,"Lluvia ligera"
"289818",45,"Accidente sin lesiones",0,"No festivo","Oscuro",0,"Asfalto",0,100,"Buen clima"
"289824",55,"Accidente leve",0,"No festivo","Oscuro",1,"Asfalto",0,100,"Lluvia ligera"
"289855",55,"Accidente grave",0,"No festivo","Soleado",1,"Asfalto",1,100,"Buen clima"
"289892",55,"Accidente leve",0,"No festivo","Nublado",1,"Asfalto",0,100,"Buen clima"
"289901",65,"Accidente sin lesiones",0,"No festivo","Oscuro",0,"Asfalto",0,80,"Buen clima"
"289915",85,"Accidente leve",0,"No festivo","Oscuro",1,"Asfalto",0,100,"Buen clima"
"289938",15,"Accidente sin lesiones",0,"No festivo","Soleado",0,"Asfalto",0,50,"Buen clima"
"289945",65,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,100,"Lluvia intensa"
"289946",50,"Accidente sin lesiones",0,"No festivo","Soleado",0,"Asfalto",0,100,"Buen clima"
"289989",55,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,100,"Lluvia ligera"
"290057",45,"Accidente leve",0,"No festivo","Nublado",1,"Asfalto",0,100,"Lluvia ligera"
"290075",65,"Accidente sin lesiones",0,"No festivo","Oscuro",0,"Asfalto",0,100,"Buen clima"
"290121",75,"Accidente sin lesiones",0,"No festivo","Oscuro",0,"Asfalto",0,80,"Buen clima"
"290173",55,"Accidente sin lesiones",0,"Pascua","Oscuro",0,"Asfalto",0,100,"Buen clima"
"290176",35,"Accidente sin lesiones",0,"No festivo","Soleado",0,"Asfalto",0,80,"Buen clima"
"290179",45,"Accidente leve",0,"No festivo","Nublado",1,"Asfalto",0,100,"Lluvia intensa"
"290192",75,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,100,"Lluvia ligera"
"290236",70,"Accidente grave",0,"No festivo","Soleado",0,"Asfalto",1,100,"Lluvia ligera"
"290290",75,"Accidente leve",0,"No festivo","Soleado",2,"Asfalto",0,100,"Buen clima"
"290309",35,"Accidente grave",0,"No festivo","Nublado",0,"Asfalto",1,100,"Buen clima"
"290343",75,"Accidente sin lesiones",0,"Pascua","Soleado",0,"Asfalto",0,100,"Buen clima"
"290372",85,"Accidente leve",0,"No festivo","Nublado",2,"Asfalto",0,100,"Buen clima"
"290408",85,"Accidente leve",0,"No festivo","Nublado",1,"Asfalto",0,100,"Niebla"
"290412",45,"Accidente sin lesiones",0,"No festivo","Oscuro",0,"Asfalto",0,100,"Nieve"
"290424",65,"Accidente leve",0,"No festivo","Oscuro",1,"Asfalto",0,100,"Buen clima"
"290432",55,"Accidente leve",0,"No festivo","Oscuro",2,"Asfalto",0,100,"Lluvia ligera"
"290452",55,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,100,"Lluvia intensa"
"290465",35,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,50,"Buen clima"
"290475",55,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,100,"Niebla"
"290496",80,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,100,"Buen clima"
"290565",55,"Accidente sin lesiones",0,"No festivo","Oscuro",0,"Asfalto",0,100,"Buen clima"
"290566",55,"Accidente sin lesiones",0,"No festivo","Soleado",0,"Asfalto",0,100,"Buen clima"
"290582",45,"Accidente sin lesiones",0,"No festivo","Oscuro",0,"Asfalto",0,80,"Niebla"
"290589",30,"Accidente sin lesiones",0,"No festivo","Oscuro",0,"Asfalto",0,50,"Buen clima"
"290606",45,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,100,"Niebla"
"290676",65,"Accidente grave",0,"No festivo","Oscuro",0,"Asfalto",1,100,"Buen clima"
"290726",30,"Accidente sin lesiones",0,"No festivo","Soleado",0,"Asfalto",0,50,"Buen clima"
"290732",25,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,100,"Niebla"
"290734",65,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,100,"Buen clima"
"290823",55,"Accidente sin lesiones",0,"No festivo","Amanecer o atardecer",0,"Asfalto",0,100,"Lluvia ligera"
"290890",55,"Accidente grave",0,"No festivo","Soleado",1,"Asfalto",1,80,"Buen clima"
"290898",75,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,100,"Buen clima"
"290906",45,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,100,"Lluvia intensa"
"290916",90,"Accidente leve",0,"No festivo","Nublado",4,"Asfalto",0,100,"Buen clima"
"290930",35,"Accidente leve",0,"No festivo","Soleado",1,"Asfalto",0,100,"Buen clima"
"290945",65,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,100,"Lluvia ligera"
"291009",30,"Accidente leve",0,"No festivo","Soleado",1,"Asfalto",0,60,"Buen clima"
"291085",85,"Accidente leve",0,"No festivo","Oscuro",1,"Asfalto",0,100,"Niebla"
"291135",20,"Accidente sin lesiones",0,"No festivo","Soleado",0,"Asfalto",0,50,"Buen clima"
"291155",35,"Accidente sin lesiones",0,"No festivo","Soleado",0,"Asfalto",0,100,"Buen clima"
"291295",25,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,100,"Buen clima"
"291319",25,"Accidente fatal",1,"No festivo","Nublado",0,"Asfalto",0,50,"Lluvia ligera"
"291372",35,"Accidente sin lesiones",0,"No festivo","Oscuro",0,"Asfalto",0,50,"Buen clima"
"291374",25,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,100,"Lluvia ligera"
"291383",40,"Accidente sin lesiones",0,"No festivo","Oscuro",0,"Sin Asfalto",0,100,"Buen clima"
"291398",40,"Accidente sin lesiones",0,"No festivo","Soleado",0,"Asfalto",0,50,"Buen clima"
"291443",35,"Accidente leve",0,"No festivo","Nublado",1,"Asfalto",0,100,"Lluvia ligera"
"291458",75,"Accidente sin lesiones",0,"No festivo","Soleado",0,"Asfalto",0,100,"Buen clima"
"291517",45,"Accidente leve",0,"No festivo","Soleado",1,"Asfalto",0,100,"Buen clima"
"291527",75,"Accidente grave",0,"No festivo","Soleado",0,"Asfalto",1,100,"Buen clima"
"291620",65,"Accidente leve",0,"No festivo","Nublado",1,"Asfalto",0,100,"Lluvia intensa"
"291659",55,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,100,"Buen clima"
"291725",35,"Accidente sin lesiones",0,"No festivo","Oscuro",0,"Asfalto",0,100,"Buen clima"
"291823",65,"Accidente sin lesiones",0,"No festivo","Soleado",0,"Asfalto",0,100,"Lluvia intensa"
"291839",85,"Accidente grave",0,"No festivo","Nublado",2,"Asfalto",1,100,"Lluvia ligera"
"291843",40,"Accidente sin lesiones",0,"No festivo","Soleado",0,"Asfalto",0,50,"Buen clima"
"291853",65,"Accidente sin lesiones",0,"No festivo","Soleado",0,"Asfalto",0,100,"Lluvia ligera"
"291871",55,"Accidente leve",0,"No festivo","Oscuro",1,"Asfalto",0,70,"Lluvia ligera"
"291885",55,"Accidente sin lesiones",0,"Cumpleaños de la Reina","Oscuro",0,"Asfalto",0,100,"Buen clima"
"291899",70,"Accidente grave",0,"No festivo","Nublado",0,"Asfalto",1,100,"Lluvia ligera"
"291909",35,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,100,"Lluvia ligera"
"292009",75,"Accidente grave",0,"Navidad y Año Nuevo","Nublado",3,"Asfalto",2,100,"Lluvia ligera"
"292045",55,"Accidente sin lesiones",0,"No festivo","Amanecer o atardecer",0,"Asfalto",0,100,"Buen clima"
"292080",85,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,100,"Buen clima"
"292113",45,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,100,"Buen clima"
"292214",60,"Accidente sin lesiones",0,"No festivo","Soleado",0,"Asfalto",0,100,"Buen clima"
"292228",65,"Accidente leve",0,"No festivo","Nublado",1,"Asfalto",0,100,"Lluvia ligera"
"292269",35,"Accidente leve",0,"No festivo","Oscuro",1,"Asfalto",0,70,"Lluvia intensa"
"292316",55,"Accidente sin lesiones",0,"Cumpleaños de la Reina","Soleado",0,"Asfalto",0,100,"Buen clima"
"292377",85,"Accidente leve",0,"No festivo","Nublado",1,"Asfalto",0,100,"Lluvia ligera"
"292389",55,"Accidente sin lesiones",0,"No festivo","Amanecer o atardecer",0,"Asfalto",0,80,"Buen clima"
"292406",55,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,100,"Buen clima"
"292477",45,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,50,"Buen clima"
"292489",65,"Accidente leve",0,"No festivo","Oscuro",1,"Asfalto",0,100,"Buen clima"
"292514",65,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,100,"Buen clima"
"292552",75,"Accidente grave",0,"No festivo","Nublado",2,"Asfalto",3,100,"Buen clima"
"292585",35,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,100,"Lluvia ligera"
"292611",65,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,100,"Lluvia ligera"
"292630",55,"Accidente sin lesiones",0,"No festivo","Oscuro",0,"Asfalto",0,100,"Buen clima"
"292671",65,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,100,"Buen clima"
"292709",35,"Accidente leve",0,"No festivo","Oscuro",2,"Asfalto",0,100,"Buen clima"
"292728",75,"Accidente sin lesiones",0,"No festivo","Oscuro",0,"Asfalto",0,100,"Lluvia ligera"
"292757",25,"Accidente leve",0,"No festivo","Amanecer o atardecer",1,"Asfalto",0,100,"Buen clima"
"292817",45,"Accidente leve",0,"No festivo","Oscuro",1,"Asfalto",0,100,"Lluvia ligera"
"292837",45,"Accidente leve",0,"No festivo","Soleado",1,"Asfalto",0,100,"Buen clima"
"292845",75,"Accidente leve",0,"No festivo","Oscuro",1,"Asfalto",0,100,"Lluvia ligera"
"292859",75,"Accidente sin lesiones",0,"No festivo","Oscuro",0,"Asfalto",0,100,"Buen clima"
"292888",65,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,100,"Lluvia ligera"
"292891",55,"Accidente leve",0,"No festivo","Soleado",1,"Asfalto",0,100,"Buen clima"
"292916",35,"Accidente leve",0,"Cumpleaños de la Reina","Oscuro",4,"Asfalto",0,100,"Lluvia ligera"
"292987",35,"Accidente sin lesiones",0,"No festivo","Soleado",0,"Asfalto",0,70,"Buen clima"
"293034",75,"Accidente grave",0,"No festivo","Oscuro",0,"Asfalto",1,100,"Buen clima"
"293050",55,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,80,"Lluvia intensa"
"293068",35,"Accidente sin lesiones",0,"No festivo","Oscuro",0,"Asfalto",0,100,"Buen clima"
"293071",65,"Accidente leve",0,"No festivo","Nublado",2,"Asfalto",0,100,"Lluvia ligera"
"293134",80,"Accidente sin lesiones",0,"No festivo","Oscuro",0,"Asfalto",0,100,"Buen clima"
"293144",85,"Accidente sin lesiones",0,"No festivo","Soleado",0,"Asfalto",0,100,"Buen clima"
"293160",45,"Accidente sin lesiones",0,"No festivo","Oscuro",0,"Asfalto",0,100,"Lluvia ligera"
"293165",25,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,100,"Lluvia ligera"
"293209",35,"Accidente leve",0,"No festivo","Oscuro",2,"Asfalto",0,100,"Buen clima"
"293211",75,"Accidente leve",0,"No festivo","Soleado",1,"Asfalto",0,100,"Buen clima"
"293226",35,"Accidente grave",0,"No festivo","Nublado",1,"Asfalto",1,100,"Lluvia ligera"
"293279",65,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,100,"Lluvia ligera"
"293359",15,"Accidente sin lesiones",0,"No festivo","Soleado",0,"Asfalto",0,50,"Buen clima"
"293547",65,"Accidente leve",0,"No festivo","Nublado",1,"Asfalto",0,100,"Lluvia intensa"
"293580",65,"Accidente grave",0,"No festivo","Soleado",0,"Asfalto",1,70,"Buen clima"
"293586",45,"Accidente sin lesiones",0,"No festivo","Soleado",0,"Asfalto",0,100,"Buen clima"
"293606",55,"Accidente sin lesiones",0,"No festivo","Soleado",0,"Asfalto",0,100,"Buen clima"
"293701",65,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,100,"Buen clima"
"293812",25,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,50,"Lluvia ligera"
"293816",65,"Accidente sin lesiones",0,"No festivo","Amanecer o atardecer",0,"Asfalto",0,100,"Buen clima"
"293845",25,"Accidente sin lesiones",0,"No festivo","Soleado",0,"Asfalto",0,50,"Buen clima"
"293873",45,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,100,"Lluvia intensa"
"293885",65,"Accidente sin lesiones",0,"No festivo","Soleado",0,"Asfalto",0,100,"Buen clima"
"293919",45,"Accidente sin lesiones",0,"No festivo","Oscuro",0,"Asfalto",0,100,"Buen clima"
"293930",30,"Accidente sin lesiones",0,"No festivo","Soleado",0,"Asfalto",0,80,"Buen clima"
"294003",45,"Accidente sin lesiones",0,"No festivo","Oscuro",0,"Asfalto",0,100,"Lluvia ligera"
"294005",50,"Accidente sin lesiones",0,"No festivo","Soleado",0,"Sin Asfalto",0,100,"Buen clima"
"294009",35,"Accidente sin lesiones",0,"No festivo","Oscuro",0,"Asfalto",0,100,"Buen clima"
"294044",55,"Accidente sin lesiones",0,"No festivo","Oscuro",0,"Asfalto",0,100,"Buen clima"
"294054",45,"Accidente leve",0,"No festivo","Oscuro",1,"Asfalto",0,100,"Buen clima"
"294073",20,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,50,"Lluvia ligera"
"294078",45,"Accidente grave",0,"No festivo","Oscuro",1,"Asfalto",1,100,"Buen clima"
"294092",80,"Accidente sin lesiones",0,"No festivo","Oscuro",0,"Asfalto",0,100,"Lluvia ligera"
"294165",35,"Accidente leve",0,"No festivo","Oscuro",1,"Asfalto",0,100,"Buen clima"
"294178",55,"Accidente leve",0,"Pascua","Oscuro",1,"Asfalto",0,100,"Buen clima"
"294273",55,"Accidente fatal",1,"No festivo","Nublado",3,"Asfalto",0,100,"Nieve"
"294330",55,"Accidente grave",0,"No festivo","Nublado",1,"Asfalto",1,100,"Lluvia ligera"
"294347",65,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,80,"Buen clima"
"294380",85,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,100,"Lluvia ligera"
"294388",25,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,50,"Buen clima"
"294446",45,"Accidente sin lesiones",0,"No festivo","Oscuro",0,"Asfalto",0,100,"Buen clima"
"294454",35,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,80,"Lluvia ligera"
"294539",65,"Accidente leve",0,"No festivo","Oscuro",1,"Asfalto",0,100,"Lluvia ligera"
"294574",25,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,100,"Buen clima"
"294601",45,"Accidente sin lesiones",0,"No festivo","Oscuro",0,"Asfalto",0,100,"Lluvia ligera"
"294619",65,"Accidente leve",0,"No festivo","Nublado",2,"Asfalto",0,100,"Lluvia ligera"
"294654",55,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,100,"Buen clima"
"294664",45,"Accidente leve",0,"No festivo","Soleado",3,"Asfalto",0,100,"Buen clima"
"294699",85,"Accidente sin lesiones",0,"No festivo","Oscuro",0,"Asfalto",0,100,"Buen clima"
"294729",55,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,100,"Buen clima"
"294765",60,"Accidente sin lesiones",0,"No festivo","Soleado",0,"Asfalto",0,100,"Buen clima"
"294799",45,"Accidente leve",0,"No festivo","Nublado",1,"Asfalto",0,100,"Buen clima"
"294806",75,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,100,"Lluvia ligera"
"294808",75,"Accidente sin lesiones",0,"No festivo","Oscuro",0,"Asfalto",0,100,"Buen clima"
"294835",30,"Accidente sin lesiones",0,"No festivo","Soleado",0,"Asfalto",0,50,"Buen clima"
"294896",85,"Accidente leve",0,"Navidad y Año Nuevo","Nublado",1,"Asfalto",0,100,"Buen clima"
"294927",55,"Accidente sin lesiones",0,"No festivo","Soleado",0,"Asfalto",0,100,"Buen clima"
"295051",65,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,100,"Lluvia ligera"
"295093",55,"Accidente sin lesiones",0,"No festivo","Amanecer o atardecer",0,"Asfalto",0,100,"Lluvia ligera"
"295094",70,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Sin Asfalto",0,100,"Buen clima"
"295152",25,"Accidente leve",0,"No festivo","Nublado",1,"Asfalto",0,100,"Buen clima"
"295182",15,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,50,"Lluvia ligera"
"295276",35,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,50,"Buen clima"
"295281",30,"Accidente sin lesiones",0,"No festivo","Oscuro",0,"Asfalto",0,50,"Buen clima"
"295282",75,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,100,"Lluvia ligera"
"295321",45,"Accidente leve",0,"No festivo","Nublado",1,"Asfalto",0,70,"Buen clima"
"295340",65,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,100,"Lluvia ligera"
"295345",35,"Accidente leve",0,"No festivo","Oscuro",1,"Asfalto",0,100,"Lluvia intensa"
"295380",55,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,100,"Buen clima"
"295421",35,"Accidente leve",0,"No festivo","Oscuro",1,"Asfalto",0,100,"Lluvia intensa"
"295434",75,"Accidente leve",0,"No festivo","Nublado",2,"Asfalto",0,100,"Buen clima"
"295436",70,"Accidente sin lesiones",0,"No festivo","Oscuro",0,"Sin Asfalto",0,100,"Buen clima"
"295448",45,"Accidente sin lesiones",0,"Navidad y Año Nuevo","Amanecer o atardecer",0,"Asfalto",0,100,"Buen clima"
"295488",45,"Accidente leve",0,"No festivo","Soleado",2,"Asfalto",0,100,"Buen clima"
"295508",75,"Accidente leve",0,"No festivo","Soleado",1,"Asfalto",0,100,"Buen clima"
"295571",85,"Accidente sin lesiones",0,"No festivo","Soleado",0,"Asfalto",0,100,"Buen clima"
"295591",45,"Accidente leve",0,"No festivo","Soleado",1,"Asfalto",0,100,"Buen clima"
"295629",65,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,100,"Lluvia ligera"
"295640",65,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,100,"Lluvia ligera"
"295650",35,"Accidente sin lesiones",0,"No festivo","Oscuro",0,"Asfalto",0,50,"Buen clima"
"295658",65,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,100,"Buen clima"
"295721",75,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,100,"Lluvia ligera"
"295739",85,"Accidente leve",0,"No festivo","Soleado",1,"Asfalto",0,100,"Buen clima"
"295784",70,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,100,"Lluvia ligera"
"295789",65,"Accidente leve",0,"No festivo","Nublado",1,"Asfalto",0,100,"Lluvia ligera"
"295861",65,"Accidente grave",0,"No festivo","Nublado",0,"Asfalto",1,70,"Buen clima"
"295875",65,"Accidente sin lesiones",0,"No festivo","Soleado",0,"Asfalto",0,100,"Buen clima"
"295893",30,"Accidente sin lesiones",0,"Navidad y Año Nuevo","Oscuro",0,"Asfalto",0,50,"Buen clima"
"295954",65,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,100,"Buen clima"
"295956",85,"Accidente sin lesiones",0,"No festivo","Oscuro",0,"Asfalto",0,100,"Lluvia ligera"
"295973",55,"Accidente leve",0,"No festivo","Oscuro",1,"Asfalto",0,100,"Buen clima"
"296003",55,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,100,"Lluvia ligera"
"296045",55,"Accidente grave",0,"No festivo","Nublado",0,"Asfalto",1,100,"Lluvia ligera"
"296088",70,"Accidente leve",0,"No festivo","Oscuro",1,"Asfalto",0,100,"Lluvia ligera"
"296093",45,"Accidente leve",0,"Cumpleaños de la Reina","Oscuro",3,"Asfalto",0,100,"Niebla"
"296193",45,"Accidente sin lesiones",0,"No festivo","Nublado",0,"Asfalto",0,100,"Lluvia ligera"
"296233",65,"Accidente sin lesiones",0,"No festivo","Oscuro",0,"Asfalto",0,100,"Buen clima"
